language,problem_id,category,title,core,input_size,trial,elapsed_ns,iterations,checksum
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",512,9,2293,2181,184
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",512,10,2580,1938,184
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",512,11,2247,2226,184
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",512,12,2073,2412,184
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",512,13,2250,2223,184
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",512,14,2208,2265,184
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",512,15,1992,2511,184
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",512,16,2006,2493,184
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",512,17,1979,2535,184
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",512,18,2365,2175,184
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",512,19,2437,2055,184
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",2048,0,11910,423,766
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",2048,1,11111,450,766
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",2048,2,10623,471,766
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",2048,3,10135,495,766
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",2048,4,10310,486,766
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",2048,5,12707,396,766
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",2048,6,9489,528,766
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",2048,7,8575,585,766
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",2048,8,8090,618,766
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",2048,9,9659,519,766
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",2048,10,11132,450,766
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",2048,11,9276,540,766
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",2048,12,8996,561,766
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",2048,13,9134,549,766
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",2048,14,9045,555,766
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",2048,15,8048,627,766
v,4,"Array","209 Minimum Size Subarray Sum","sliding window",2048,16,8988,558,766
