language,problem_id,category,title,core,input_size,trials,median_ns,mean_ns,min_ns,max_ns,checksum
v,13,Hash/TwoPointer,15 3Sum,sort dedupe two pointers,2048,20,251014.000000,247629.250000,228062.000000,259223.000000,829
go,13,Hash/TwoPointer,15 3Sum,sort dedupe two pointers,8192,20,854900.000000,855626.350000,740555.000000,1129133.000000,4324
v,13,Hash/TwoPointer,15 3Sum,sort dedupe two pointers,8192,20,886541.500000,890102.150000,869683.000000,914933.000000,4324
go,14,String,3 Longest Substring,sliding window set,512,20,1116.000000,1131.550000,1093.000000,1296.000000,17
v,14,String,3 Longest Substring,sliding window set,512,20,3133.500000,3145.500000,2971.000000,3504.000000,17
go,14,String,3 Longest Substring,sliding window set,2048,20,4195.000000,4256.000000,4087.000000,5027.000000,18
v,14,String,3 Longest Substring,sliding window set,2048,20,11648.500000,11806.350000,10506.000000,13499.000000,18
go,14,String,3 Longest Substring,sliding window set,8192,20,16533.000000,16618.950000,16034.000000,17790.000000,19
v,14,String,3 Longest Substring,sliding window set,8192,20,45267.000000,46024.750000,43433.000000,54287.000000,19
go,15,String,76 Minimum Window,sliding window counts,512,20,1468.000000,1482.900000,1434.000000,1689.000000,4
v,15,String,76 Minimum Window,sliding window counts,512,20,2054.000000,2163.800000,1906.000000,3360.000000,4
go,15,String,76 Minimum Window,sliding window counts,2048,20,5661.000000,5726.450000,5530.000000,6213.000000,4
v,15,String,76 Minimum Window,sliding window counts,2048,20,8481.000000,8142.250000,6580.000000,10032.000000,4
go,15,String,76 Minimum Window,sliding window counts,8192,20,22507.500000,22693.050000,22074.000000,23702.000000,4
v,15,String,76 Minimum Window,sliding window counts,8192,20,26988.500000,27125.050000,26327.000000,27994.000000,4
go,16,String,438 Find Anagrams,fixed window,512,20,3184.000000,3159.600000,2980.000000,3387.000000,2562
v,16,String,438 Find Anagrams,fixed window,512,20,1990.000000,1995.700000,1887.000000,2097.000000,2562
go,16,String,438 Find Anagrams,fixed window,2048,20,12085.000000,12179.800000,11841.000000,12844.000000,8194
v,16,String,438 Find Anagrams,fixed window,2048,20,6968.500000,6993.950000,6768.000000,7195.000000,8194
go,16,String,438 Find Anagrams,fixed window,8192,20,48662.500000,48590.600000,46337.000000,50295.000000,56602
v,16,String,438 Find Anagrams,fixed window,8192,20,30536.000000,31480.500000,27645.000000,37125.000000,56602
go,17,LinkedList,707 Design Linked List,linked operations,512,20,141623.500000,140243.200000,128430.000000,154048.000000,86629
v,17,LinkedList,707 Design Linked List,linked operations,512,20,234812.000000,234540.200000,228020.000000,244204.000000,86629
go,17,LinkedList,707 Design Linked List,linked operations,2048,20,2291650.000000,2281223.050000,1868533.000000,2502700.000000,1130864
v,17,LinkedList,707 Design Linked List,linked operations,2048,20,3803616.500000,3815239.750000,3750000.000000,3914500.000000,1130864
go,17,LinkedList,707 Design Linked List,linked operations,8192,20,3076299.500000,3105196.300000,2895233.000000,3400066.000000,1535428
v,17,LinkedList,707 Design Linked List,linked operations,8192,20,5270699.500000,5268596.350000,5148033.000000,5490966.000000,1535428
go,18,LinkedList,206 Reverse Linked List,iterative reverse,512,20,1973.000000,1976.500000,1870.000000,2116.000000,40972280859660299
v,18,LinkedList,206 Reverse Linked List,iterative reverse,512,20,6862.500000,6869.500000,6071.000000,8065.000000,40972280859660299
go,18,LinkedList,206 Reverse Linked List,iterative reverse,2048,20,7224.500000,7288.900000,7129.000000,7584.000000,5288584232105168139
v,18,LinkedList,206 Reverse Linked List,iterative reverse,2048,20,28616.500000,28446.900000,25729.000000,30055.000000,5288584232105168139
go,18,LinkedList,206 Reverse Linked List,iterative reverse,8192,20,28421.000000,29805.100000,27800.000000,41031.000000,7109824480665481483
v,18,LinkedList,206 Reverse Linked List,iterative reverse,8192,20,112343.500000,107978.350000,82304.000000,121957.000000,7109824480665481483
go,19,LinkedList,92 Reverse Linked List II,local reverse,512,20,2476.500000,2537.750000,2329.000000,2982.000000,-3479935446783355515
v,19,LinkedList,92 Reverse Linked List II,local reverse,512,20,12964.500000,12915.950000,12162.000000,14032.000000,-3479935446783355515
go,19,LinkedList,92 Reverse Linked List II,local reverse,2048,20,9730.500000,9837.750000,9115.000000,10783.000000,3981192518044243077
v,19,LinkedList,92 Reverse Linked List II,local reverse,2048,20,38193.500000,39497.500000,36957.000000,49706.000000,3981192518044243077
go,19,LinkedList,92 Reverse Linked List II,local reverse,8192,20,35214.000000,35745.000000,33880.000000,45193.000000,-3194850509724757883
v,19,LinkedList,92 Reverse Linked List II,local reverse,8192,20,139617.500000,140294.100000,135287.000000,146525.000000,-3194850509724757883
go,20,LinkedList,24 Swap Nodes in Pairs,pointer reconnect,512,20,2529.000000,2540.000000,2427.000000,2890.000000,-2631996698515867125
v,20,LinkedList,24 Swap Nodes in Pairs,pointer reconnect,512,20,9591.000000,9857.950000,8975.000000,14393.000000,-2631996698515867125
go,20,LinkedList,24 Swap Nodes in Pairs,pointer reconnect,2048,20,10031.500000,10159.700000,9594.000000,12375.000000,6169810488362788107
v,20,LinkedList,24 Swap Nodes in Pairs,pointer reconnect,2048,20,37438.500000,37726.700000,36310.000000,40030.000000,6169810488362788107
go,20,LinkedList,24 Swap Nodes in Pairs,pointer reconnect,8192,20,37029.000000,38152.250000,35472.000000,42740.000000,-5213849746134822645
v,20,LinkedList,24 Swap Nodes in Pairs,pointer reconnect,8192,20,139833.000000,142535.650000,132230.000000,161339.000000,-5213849746134822645
go,21,LinkedList,19 Remove Nth From End,fast slow pointers,512,20,2482.500000,2499.550000,2413.000000,2670.000000,-8420543675268011982
v,21,LinkedList,19 Remove Nth From End,fast slow pointers,512,20,8185.500000,8504.450000,7749.000000,11038.000000,-8420543675268011982
